Source,Target,Lag,Lag_min,Val_corr,P_value,HH_ID
TVOC,StressIndex,1,10,0.0149,0.0149,A0002
Risk_bin,StressIndex,1,10,-0.0118,0.0391,A0002
BreathRate,StressIndex,2,20,-0.0172,0.0427,A0002
StressIndex,StressIndex,2,20,0.1327,0.0,A0002
Temperature,StressIndex,2,20,0.0056,0.0064,A0002
Humidity,StressIndex,2,20,-0.0086,0.0378,A0002
Activity_IR,StressIndex,3,30,-0.0025,0.0075,A0002
StressIndex,StressIndex,3,30,0.0806,0.0,A0002
CO2,StressIndex,3,30,0.023,0.0174,A0002
TVOC,StressIndex,3,30,-0.0104,0.0198,A0002
Activity_IR,StressIndex,4,40,-0.0037,0.0204,A0002
BreathRate,StressIndex,4,40,0.0233,0.0339,A0002
StressIndex,StressIndex,4,40,0.0737,0.0,A0002
Risk_bin,StressIndex,4,40,-0.0297,0.0145,A0002
Activity_IR,StressIndex,5,50,0.0073,0.0237,A0002
StressIndex,StressIndex,5,50,0.0275,0.042,A0002
Temperature,StressIndex,5,50,-0.0088,0.026,A0002
Humidity,StressIndex,5,50,-0.0025,0.01,A0002
CO2,StressIndex,5,50,-0.0056,0.0004,A0002
TVOC,StressIndex,5,50,0.0141,0.0005,A0002
Activity_IR,StressIndex,6,60,0.0036,0.0071,A0002
HeartRate,StressIndex,6,60,-0.019,0.0027,A0002
StressIndex,StressIndex,6,60,0.0144,0.0075,A0002
Risk_bin,StressIndex,6,60,-0.0026,0.0229,A0002
BreathRate,TVOC,1,10,-0.0083,0.0105,A0002
StressIndex,TVOC,1,10,0.0212,0.0072,A0002
Humidity,TVOC,1,10,-0.0317,0.0381,A0002
CO2,TVOC,1,10,0.0572,0.0003,A0002
Activity_IR,TVOC,2,20,-0.0057,0.0217,A0002
BreathRate,TVOC,2,20,-0.0238,0.032,A0002
StressIndex,TVOC,2,20,0.012,0.0336,A0002
CO2,TVOC,2,20,0.0069,0.0019,A0002
TVOC,TVOC,2,20,0.0071,0.0,A0002
BreathRate,TVOC,3,30,0.0065,0.0123,A0002
Temperature,TVOC,3,30,-0.0326,0.0025,A0002
Humidity,TVOC,3,30,-0.0187,0.0009,A0002
CO2,TVOC,3,30,0.0112,0.0001,A0002
TVOC,TVOC,3,30,-0.0026,0.0012,A0002
StressIndex,TVOC,4,40,0.0029,0.0014,A0002
Humidity,TVOC,4,40,0.0091,0.0031,A0002
CO2,TVOC,4,40,0.0378,0.0029,A0002
TVOC,TVOC,4,40,0.0145,0.0113,A0002
Temperature,TVOC,5,50,-0.0292,0.0243,A0002
Humidity,TVOC,5,50,-0.001,0.0002,A0002
CO2,TVOC,5,50,0.0193,0.0387,A0002
HeartRate,TVOC,6,60,0.0021,0.0254,A0002
BreathRate,TVOC,6,60,-0.0011,0.0314,A0002
Temperature,TVOC,6,60,-0.0187,0.0133,A0002
Humidity,TVOC,6,60,-0.0163,0.0056,A0002
TVOC,TVOC,6,60,0.0165,0.0005,A0002
Activity_IR,Temperature,1,10,0.0224,0.0002,A0002
HeartRate,Temperature,1,10,0.01,0.0024,A0002
StressIndex,Temperature,1,10,-0.0086,0.0054,A0002
Temperature,Temperature,1,10,0.7931,0.0,A0002
Humidity,Temperature,1,10,0.1241,0.0,A0002
CO2,Temperature,1,10,0.0824,0.0041,A0002
TVOC,Temperature,1,10,0.059,0.0177,A0002
Risk_bin,Temperature,1,10,-0.0263,0.0491,A0002
Activity_IR,Temperature,2,20,-0.1288,0.0,A0002
BreathRate,Temperature,2,20,-0.0037,0.0016,A0002
StressIndex,Temperature,2,20,-0.0208,0.0008,A0002
Temperature,Temperature,2,20,-0.1985,0.0,A0002
Humidity,Temperature,2,20,-0.0761,0.0003,A0002
CO2,Temperature,2,20,0.0093,0.0274,A0002
Activity_IR,Temperature,3,30,0.0116,0.0019,A0002
HeartRate,Temperature,3,30,0.0008,0.0023,A0002
Humidity,Temperature,3,30,-0.0115,0.0414,A0002
Risk_bin,Temperature,3,30,-0.0014,0.0139,A0002
Activity_IR,Temperature,4,40,0.0449,0.0005,A0002
HeartRate,Temperature,4,40,0.0052,0.0486,A0002
Humidity,Temperature,4,40,-0.0245,0.0399,A0002
Risk_bin,Temperature,4,40,0.0126,0.0322,A0002
StressIndex,Temperature,5,50,-0.0141,0.0306,A0002
Humidity,Temperature,5,50,-0.0538,0.0278,A0002
CO2,Temperature,5,50,-0.0038,0.0146,A0002
TVOC,Temperature,5,50,-0.0128,0.0111,A0002
Risk_bin,Temperature,5,50,0.0143,0.0137,A0002
HeartRate,Temperature,6,60,-0.0063,0.037,A0002
StressIndex,Temperature,6,60,0.0121,0.0004,A0002
Temperature,Temperature,6,60,-0.0109,0.0032,A0002
CO2,Temperature,6,60,-0.0046,0.0376,A0002
Activity_IR,Activity_IR,1,10,0.3234,0.0,A0003
HeartRate,Activity_IR,1,10,-0.0003,0.0007,A0003
StressIndex,Activity_IR,1,10,0.0029,0.0057,A0003
Humidity,Activity_IR,1,10,-0.0051,0.0009,A0003
CO2,Activity_IR,1,10,-0.0173,0.0143,A0003
TVOC,Activity_IR,1,10,-0.0165,0.0159,A0003
Risk_bin,Activity_IR,1,10,-0.0574,0.0035,A0003
Activity_IR,Activity_IR,2,20,0.0222,0.0016,A0003
CO2,Activity_IR,2,20,-0.018,0.0057,A0003
TVOC,Activity_IR,2,20,-0.0193,0.007,A0003
Risk_bin,Activity_IR,2,20,-0.0127,0.006,A0003
Activity_IR,Activity_IR,3,30,0.0292,0.0025,A0003
BreathRate,Activity_IR,3,30,0.0011,0.0488,A0003
Temperature,Activity_IR,3,30,0.0245,0.0354,A0003
Humidity,Activity_IR,3,30,0.0027,0.0475,A0003
CO2,Activity_IR,3,30,0.0139,0.0132,A0003
TVOC,Activity_IR,3,30,0.0158,0.0123,A0003
HeartRate,Activity_IR,4,40,-0.0041,0.0499,A0003
StressIndex,Activity_IR,4,40,-0.0047,0.049,A0003
Temperature,Activity_IR,4,40,0.0257,0.0166,A0003
Humidity,Activity_IR,4,40,0.0384,0.0294,A0003
TVOC,Activity_IR,4,40,-0.0238,0.0468,A0003
Activity_IR,Activity_IR,5,50,0.0173,0.0086,A0003
HeartRate,Activity_IR,5,50,-0.029,0.0113,A0003
Humidity,Activity_IR,5,50,-0.0146,0.0163,A0003
Activity_IR,Activity_IR,6,60,0.0252,0.0248,A0003
StressIndex,Activity_IR,6,60,0.0161,0.0192,A0003
Temperature,Activity_IR,6,60,0.01,0.0137,A0003
BreathRate,BreathRate,1,10,0.2594,0.0,A0003
Humidity,BreathRate,1,10,-0.0096,0.0246,A0003
CO2,BreathRate,1,10,0.0209,0.0309,A0003
TVOC,BreathRate,1,10,0.0143,0.0205,A0003
Activity_IR,BreathRate,2,20,-0.0079,0.0196,A0003
BreathRate,BreathRate,2,20,0.0943,0.0,A0003
Temperature,BreathRate,2,20,0.0208,0.0151,A0003
Humidity,BreathRate,2,20,-0.0153,0.016,A0003
HeartRate,BreathRate,3,30,0.0031,0.0142,A0003
BreathRate,BreathRate,3,30,0.0776,0.0,A0003
Humidity,BreathRate,3,30,0.0125,0.0425,A0003
Activity_IR,BreathRate,4,40,0.0084,0.0198,A0003
BreathRate,BreathRate,4,40,0.0257,0.0234,A0003
StressIndex,BreathRate,4,40,-0.0116,0.0376,A0003
BreathRate,BreathRate,5,50,0.0235,0.0397,A0003
StressIndex,BreathRate,5,50,0.0268,0.028,A0003
Temperature,BreathRate,5,50,0.0116,0.0204,A0003
Risk_bin,BreathRate,5,50,0.0029,0.0334,A0003
Activity_IR,BreathRate,6,60,0.0079,0.0105,A0003
Temperature,BreathRate,6,60,0.0026,0.0228,A0003
Humidity,BreathRate,6,60,-0.0155,0.0472,A0003
CO2,BreathRate,6,60,-0.0144,0.0086,A0003
TVOC,BreathRate,6,60,-0.0028,0.0094,A0003
StressIndex,CO2,1,10,-0.0005,0.0292,A0003
Temperature,CO2,1,10,0.0247,0.0207,A0003
Humidity,CO2,1,10,-0.0307,0.0304,A0003
CO2,CO2,1,10,0.0925,0.0,A0003
TVOC,CO2,1,10,-0.0447,0.0003,A0003
Activity_IR,CO2,2,20,0.034,0.0238,A0003
HeartRate,CO2,2,20,0.0088,0.0409,A0003
StressIndex,CO2,2,20,0.0345,0.0221,A0003
Temperature,CO2,2,20,-0.004,0.0267,A0003
Humidity,CO2,2,20,-0.0234,0.0268,A0003
CO2,CO2,2,20,0.0497,0.0,A0003
TVOC,CO2,2,20,-0.0296,0.0008,A0003
Risk_bin,CO2,2,20,-0.0207,0.0001,A0003
Activity_IR,CO2,3,30,0.0036,0.0451,A0003
HeartRate,CO2,3,30,0.0164,0.0171,A0003
Temperature,CO2,3,30,-0.0129,0.0353,A0003
CO2,CO2,3,30,0.0571,0.0011,A0003
TVOC,CO2,3,30,-0.0049,0.0014,A0003
Activity_IR,CO2,4,40,-0.0101,0.0445,A0003
CO2,CO2,4,40,-0.0031,0.0054,A0003
TVOC,CO2,4,40,0.0133,0.0013,A0003
Risk_bin,CO2,4,40,-0.0151,0.0168,A0003
HeartRate,CO2,5,50,0.0076,0.0031,A0003
StressIndex,CO2,5,50,0.0252,0.0321,A0003
Temperature,CO2,5,50,-0.0256,0.0123,A0003
CO2,CO2,5,50,-0.0176,0.0003,A0003
TVOC,CO2,5,50,0.0037,0.001,A0003
Risk_bin,CO2,5,50,0.0034,0.0333,A0003
HeartRate,CO2,6,60,-0.0035,0.0051,A0003
Humidity,CO2,6,60,-0.0215,0.0281,A0003
Risk_bin,CO2,6,60,-0.0336,0.0079,A0003
HeartRate,HeartRate,1,10,0.462,0.0,A0003
BreathRate,HeartRate,1,10,0.013,0.0332,A0003
StressIndex,HeartRate,1,10,-0.0611,0.0006,A0003
Temperature,HeartRate,1,10,-0.0005,0.0489,A0003
Humidity,HeartRate,1,10,0.007,0.0093,A0003
CO2,HeartRate,1,10,0.0083,0.0008,A0003
TVOC,HeartRate,1,10,0.0165,0.0011,A0003
Risk_bin,HeartRate,1,10,-0.0481,0.0009,A0003
HeartRate,HeartRate,2,20,0.1238,0.0,A0003
StressIndex,HeartRate,2,20,-0.019,0.0007,A0003
Humidity,HeartRate,2,20,-0.0225,0.0471,A0003
CO2,HeartRate,2,20,-0.0183,0.0131,A0003
TVOC,HeartRate,2,20,0.0092,0.0076,A0003
HeartRate,HeartRate,3,30,0.0862,0.0,A0003
HeartRate,HeartRate,4,40,0.0252,0.0133,A0003
CO2,HeartRate,4,40,-0.0043,0.0488,A0003
Risk_bin,HeartRate,4,40,-0.0113,0.0406,A0003
HeartRate,HeartRate,5,50,-0.0001,0.0458,A0003
StressIndex,HeartRate,5,50,0.0173,0.0361,A0003
HeartRate,HeartRate,6,60,0.0217,0.0001,A0003
BreathRate,HeartRate,6,60,-0.0093,0.0355,A0003
StressIndex,HeartRate,6,60,-0.0077,0.0353,A0003
Risk_bin,HeartRate,6,60,0.0021,0.0391,A0003
Activity_IR,Humidity,1,10,-0.1215,0.0,A0003
HeartRate,Humidity,1,10,0.0016,0.0318,A0003
Temperature,Humidity,1,10,-0.0761,0.0,A0003
Humidity,Humidity,1,10,0.7079,0.0,A0003
CO2,Humidity,1,10,0.0684,0.0,A0003
TVOC,Humidity,1,10,0.022,0.0064,A0003
Risk_bin,Humidity,1,10,0.0557,0.028,A0003
Temperature,Humidity,2,20,-0.0471,0.0,A0003
Humidity,Humidity,2,20,-0.0504,0.0,A0003
Activity_IR,Humidity,3,30,0.0199,0.0162,A0003
StressIndex,Humidity,3,30,-0.0282,0.0426,A0003
Temperature,Humidity,3,30,-0.0505,0.0001,A0003
Humidity,Humidity,3,30,0.0067,0.0417,A0003
CO2,Humidity,3,30,-0.024,0.0026,A0003
TVOC,Humidity,3,30,-0.0228,0.0041,A0003
Activity_IR,Humidity,4,40,-0.0059,0.0065,A0003
BreathRate,Humidity,4,40,-0.0177,0.0123,A0003
StressIndex,Humidity,4,40,0.0011,0.0016,A0003
Temperature,Humidity,4,40,-0.0173,0.0035,A0003
Humidity,Humidity,4,40,0.0156,0.0008,A0003
CO2,Humidity,4,40,-0.0076,0.0092,A0003
TVOC,Humidity,4,40,0.0004,0.013,A0003
Activity_IR,Humidity,5,50,-0.0074,0.0001,A0003
BreathRate,Humidity,5,50,-0.023,0.0084,A0003
Temperature,Humidity,5,50,-0.0044,0.0093,A0003
Humidity,Humidity,5,50,-0.008,0.0047,A0003
CO2,Humidity,5,50,0.0134,0.0098,A0003
TVOC,Humidity,5,50,0.0143,0.02,A0003
Activity_IR,Humidity,6,60,0.0268,0.0014,A0003
StressIndex,Humidity,6,60,-0.0131,0.016,A0003
Temperature,Humidity,6,60,0.0193,0.0073,A0003
TVOC,Humidity,6,60,-0.0112,0.0001,A0003
Activity_IR,Risk_bin,1,10,-0.0536,0.007,A0003
HeartRate,Risk_bin,1,10,0.0024,0.0022,A0003
BreathRate,Risk_bin,1,10,0.001,0.0184,A0003
StressIndex,Risk_bin,1,10,0.0019,0.0148,A0003
CO2,Risk_bin,1,10,-0.0063,0.026,A0003
Risk_bin,Risk_bin,1,10,0.5229,0.0,A0003
Activity_IR,Risk_bin,2,20,0.0239,0.0047,A0003
BreathRate,Risk_bin,2,20,-0.004,0.0385,A0003
Temperature,Risk_bin,2,20,-0.0022,0.0224,A0003
Risk_bin,Risk_bin,2,20,0.1517,0.0,A0003
Activity_IR,Risk_bin,3,30,0.021,0.0086,A0003
StressIndex,Risk_bin,3,30,-0.0069,0.0349,A0003
Humidity,Risk_bin,3,30,-0.0037,0.0363,A0003
CO2,Risk_bin,3,30,-0.0011,0.0085,A0003
TVOC,Risk_bin,3,30,-0.0012,0.0129,A0003
Risk_bin,Risk_bin,3,30,0.0644,0.0001,A0003
Risk_bin,Risk_bin,4,40,0.0097,0.021,A0003
BreathRate,Risk_bin,6,60,0.0195,0.0472,A0003
CO2,Risk_bin,6,60,0.0046,0.0419,A0003
TVOC,Risk_bin,6,60,0.0129,0.0,A0003
HeartRate,StressIndex,1,10,-0.0878,0.0009,A0003
BreathRate,StressIndex,1,10,0.0234,0.0256,A0003
StressIndex,StressIndex,1,10,0.2437,0.0,A0003
Humidity,StressIndex,1,10,-0.0092,0.0363,A0003
HeartRate,StressIndex,2,20,-0.0148,0.0475,A0003
BreathRate,StressIndex,2,20,0.0176,0.0262,A0003
StressIndex,StressIndex,2,20,0.1143,0.0,A0003
Temperature,StressIndex,2,20,0.0411,0.0272,A0003
Humidity,StressIndex,2,20,0.0211,0.0355,A0003
HeartRate,StressIndex,3,30,-0.0106,0.0203,A0003
BreathRate,StressIndex,3,30,0.031,0.0219,A0003
StressIndex,StressIndex,3,30,0.0785,0.0,A0003
Humidity,StressIndex,3,30,0.0025,0.0198,A0003
StressIndex,StressIndex,4,40,0.0579,0.0006,A0003
Activity_IR,StressIndex,5,50,0.0141,0.0163,A0003
HeartRate,StressIndex,5,50,0.0042,0.0404,A0003
StressIndex,StressIndex,5,50,0.044,0.0097,A0003
Temperature,StressIndex,5,50,0.0102,0.0132,A0003
Humidity,StressIndex,5,50,0.0287,0.014,A0003
TVOC,StressIndex,5,50,-0.0329,0.027,A0003
Activity_IR,StressIndex,6,60,-0.0284,0.0329,A0003
HeartRate,StressIndex,6,60,-0.0283,0.0118,A0003
StressIndex,StressIndex,6,60,0.0477,0.0054,A0003
TVOC,StressIndex,6,60,-0.0245,0.0195,A0003
StressIndex,TVOC,1,10,0.0002,0.0216,A0003
Temperature,TVOC,1,10,0.0189,0.0126,A0003
Humidity,TVOC,1,10,-0.029,0.0248,A0003
CO2,TVOC,1,10,0.063,0.0004,A0003
TVOC,TVOC,1,10,-0.0231,0.0048,A0003
HeartRate,TVOC,2,20,0.0087,0.0272,A0003
BreathRate,TVOC,2,20,-0.0277,0.0328,A0003
StressIndex,TVOC,2,20,0.0353,0.0083,A0003
Temperature,TVOC,2,20,-0.0071,0.0122,A0003
Humidity,TVOC,2,20,-0.0235,0.0371,A0003
CO2,TVOC,2,20,0.0412,0.0,A0003
TVOC,TVOC,2,20,-0.0156,0.0034,A0003
Risk_bin,TVOC,2,20,-0.0187,0.0,A0003
HeartRate,TVOC,3,30,0.0142,0.0423,A0003
Temperature,TVOC,3,30,-0.0129,0.0414,A0003
CO2,TVOC,3,30,0.0489,0.0007,A0003
TVOC,TVOC,3,30,0.0065,0.001,A0003
CO2,TVOC,4,40,-0.0097,0.002,A0003
TVOC,TVOC,4,40,0.0102,0.0029,A0003
Risk_bin,TVOC,4,40,-0.0078,0.0078,A0003
HeartRate,TVOC,5,50,0.0049,0.0051,A0003
StressIndex,TVOC,5,50,0.0268,0.0426,A0003
Temperature,TVOC,5,50,-0.0176,0.0137,A0003
CO2,TVOC,5,50,-0.0209,0.0002,A0003
TVOC,TVOC,5,50,0.0123,0.0012,A0003
Risk_bin,TVOC,5,50,0.0119,0.0031,A0003
HeartRate,TVOC,6,60,-0.0029,0.0164,A0003
Humidity,TVOC,6,60,-0.0223,0.0216,A0003
Risk_bin,TVOC,6,60,-0.0323,0.0007,A0003
HeartRate,Temperature,1,10,-0.0547,0.0005,A0003
Temperature,Temperature,1,10,0.8251,0.0,A0003
Humidity,Temperature,1,10,0.2055,0.0,A0003
CO2,Temperature,1,10,0.0737,0.0001,A0003
TVOC,Temperature,1,10,0.0173,0.0003,A0003
