Source,Target,Lag,Lag_min,Val_corr,P_value,HH_ID
Humidity,StressIndex,5,50,0.0371,0.0139,A0016
HeartRate,StressIndex,6,60,-0.0155,0.0368,A0016
Risk_bin,StressIndex,6,60,-0.0216,0.0386,A0016
Activity_IR,TVOC,1,10,0.0336,0.0053,A0016
Risk_bin,TVOC,1,10,0.0306,0.0,A0016
BreathRate,TVOC,2,20,-0.0023,0.007,A0016
StressIndex,TVOC,2,20,0.0005,0.0321,A0016
Risk_bin,TVOC,2,20,-0.0314,0.0031,A0016
HeartRate,TVOC,3,30,-0.0176,0.0215,A0016
StressIndex,TVOC,4,40,0.0222,0.0197,A0016
Temperature,TVOC,4,40,-0.0003,0.0455,A0016
Humidity,TVOC,4,40,-0.0289,0.0356,A0016
CO2,TVOC,4,40,0.0467,0.001,A0016
TVOC,TVOC,4,40,-0.0453,0.0048,A0016
BreathRate,TVOC,5,50,-0.0129,0.0476,A0016
StressIndex,TVOC,5,50,-0.0091,0.0228,A0016
Humidity,TVOC,5,50,-0.0323,0.0181,A0016
TVOC,TVOC,5,50,-0.0054,0.0411,A0016
Risk_bin,TVOC,5,50,-0.0202,0.0038,A0016
HeartRate,TVOC,6,60,0.0167,0.0484,A0016
BreathRate,TVOC,6,60,-0.0151,0.0096,A0016
Humidity,TVOC,6,60,-0.0074,0.0085,A0016
CO2,TVOC,6,60,-0.0064,0.0039,A0016
TVOC,TVOC,6,60,-0.004,0.0051,A0016
Activity_IR,Temperature,1,10,-0.0066,0.0124,A0016
BreathRate,Temperature,1,10,0.0076,0.0454,A0016
StressIndex,Temperature,1,10,-0.0273,0.044,A0016
Temperature,Temperature,1,10,0.8042,0.0,A0016
Humidity,Temperature,1,10,0.1121,0.0,A0016
TVOC,Temperature,1,10,0.0337,0.0406,A0016
Activity_IR,Temperature,2,20,-0.1304,0.0,A0016
Temperature,Temperature,2,20,-0.2012,0.0,A0016
Humidity,Temperature,2,20,-0.0299,0.0317,A0016
Activity_IR,Temperature,3,30,-0.0441,0.0027,A0016
BreathRate,Temperature,3,30,-0.0179,0.0487,A0016
StressIndex,Temperature,3,30,-0.0584,0.0149,A0016
Temperature,Temperature,3,30,-0.0238,0.0032,A0016
Humidity,Temperature,3,30,-0.014,0.0004,A0016
CO2,Temperature,3,30,-0.033,0.048,A0016
TVOC,Temperature,3,30,-0.0234,0.045,A0016
Risk_bin,Temperature,3,30,0.0397,0.0342,A0016
Activity_IR,Temperature,4,40,-0.0276,0.0052,A0016
HeartRate,Temperature,4,40,0.0036,0.0189,A0016
StressIndex,Temperature,4,40,-0.0434,0.0019,A0016
Humidity,Temperature,4,40,-0.0375,0.0071,A0016
CO2,Temperature,4,40,-0.0095,0.0463,A0016
TVOC,Temperature,4,40,-0.0094,0.0258,A0016
Risk_bin,Temperature,4,40,0.0196,0.0375,A0016
Activity_IR,Temperature,5,50,0.012,0.0002,A0016
StressIndex,Temperature,5,50,0.0032,0.0189,A0016
Humidity,Temperature,5,50,-0.0098,0.0154,A0016
Activity_IR,Temperature,6,60,0.0043,0.0045,A0016
Humidity,Temperature,6,60,-0.021,0.0009,A0016
Activity_IR,Activity_IR,1,10,0.1833,0.0001,A0017
HeartRate,Activity_IR,1,10,0.0903,0.0016,A0017
StressIndex,Activity_IR,1,10,0.0653,0.0415,A0017
Temperature,Activity_IR,1,10,-0.0146,0.005,A0017
CO2,Activity_IR,1,10,0.1757,0.0,A0017
Risk_bin,Activity_IR,1,10,-0.0795,0.0005,A0017
HeartRate,Activity_IR,2,20,-0.0468,0.0365,A0017
Humidity,Activity_IR,2,20,-0.0491,0.0227,A0017
StressIndex,Activity_IR,3,30,0.0772,0.0096,A0017
Humidity,Activity_IR,3,30,-0.014,0.0005,A0017
TVOC,Activity_IR,3,30,0.0149,0.0127,A0017
HeartRate,Activity_IR,4,40,-0.0279,0.0321,A0017
BreathRate,Activity_IR,4,40,-0.0909,0.0193,A0017
StressIndex,Activity_IR,4,40,0.0485,0.019,A0017
Humidity,Activity_IR,4,40,0.0744,0.0289,A0017
Activity_IR,Activity_IR,5,50,0.0742,0.0125,A0017
HeartRate,Activity_IR,5,50,-0.0537,0.0288,A0017
StressIndex,Activity_IR,5,50,0.0012,0.0455,A0017
CO2,Activity_IR,5,50,0.0931,0.0082,A0017
TVOC,Activity_IR,5,50,0.0155,0.0069,A0017
Activity_IR,BreathRate,1,10,0.0488,0.0384,A0017
BreathRate,BreathRate,1,10,0.5503,0.0,A0017
StressIndex,BreathRate,1,10,-0.0513,0.0253,A0017
CO2,BreathRate,1,10,-0.0043,0.0425,A0017
BreathRate,BreathRate,2,20,-0.0309,0.0004,A0017
CO2,BreathRate,2,20,-0.0949,0.0019,A0017
TVOC,BreathRate,2,20,-0.0985,0.0017,A0017
BreathRate,BreathRate,3,30,-0.0255,0.0282,A0017
Risk_bin,BreathRate,3,30,-0.0592,0.0001,A0017
BreathRate,BreathRate,4,40,-0.0463,0.0442,A0017
CO2,BreathRate,4,40,-0.0576,0.04,A0017
TVOC,BreathRate,4,40,-0.0644,0.0178,A0017
Activity_IR,BreathRate,5,50,0.0257,0.029,A0017
BreathRate,BreathRate,6,60,-0.0397,0.0217,A0017
Activity_IR,CO2,1,10,0.1794,0.0,A0017
HeartRate,CO2,1,10,0.0139,0.0471,A0017
StressIndex,CO2,1,10,-0.0025,0.0059,A0017
Humidity,CO2,1,10,-0.0739,0.0145,A0017
CO2,CO2,1,10,0.1397,0.0001,A0017
TVOC,CO2,1,10,0.1389,0.0,A0017
Activity_IR,CO2,2,20,0.066,0.0138,A0017
HeartRate,CO2,2,20,-0.033,0.0227,A0017
CO2,CO2,2,20,0.0164,0.0276,A0017
Humidity,CO2,3,30,-0.0008,0.0363,A0017
Risk_bin,CO2,3,30,-0.0446,0.0007,A0017
HeartRate,CO2,4,40,0.0393,0.0064,A0017
StressIndex,CO2,4,40,-0.0523,0.0347,A0017
Risk_bin,CO2,4,40,-0.0469,0.018,A0017
Activity_IR,CO2,5,50,0.0765,0.0215,A0017
Risk_bin,CO2,5,50,-0.1003,0.0004,A0017
Activity_IR,CO2,6,60,0.0917,0.0158,A0017
HeartRate,CO2,6,60,-0.0311,0.0248,A0017
HeartRate,HeartRate,1,10,0.2753,0.0,A0017
BreathRate,HeartRate,1,10,-0.0102,0.0222,A0017
Activity_IR,HeartRate,2,20,0.0795,0.0189,A0017
StressIndex,HeartRate,2,20,-0.0576,0.0084,A0017
CO2,HeartRate,2,20,-0.0336,0.0392,A0017
TVOC,HeartRate,2,20,0.0796,0.0099,A0017
Activity_IR,HeartRate,3,30,0.0008,0.0393,A0017
HeartRate,HeartRate,3,30,0.1182,0.0,A0017
BreathRate,HeartRate,3,30,-0.0037,0.0178,A0017
Temperature,HeartRate,3,30,-0.0772,0.0274,A0017
HeartRate,HeartRate,4,40,0.0594,0.002,A0017
BreathRate,HeartRate,4,40,-0.0076,0.0208,A0017
Temperature,HeartRate,4,40,0.1094,0.0277,A0017
CO2,HeartRate,4,40,-0.0413,0.0019,A0017
TVOC,HeartRate,4,40,-0.0485,0.0035,A0017
Activity_IR,HeartRate,5,50,-0.0295,0.0396,A0017
BreathRate,HeartRate,5,50,-0.0838,0.0127,A0017
Temperature,HeartRate,5,50,-0.0183,0.05,A0017
CO2,HeartRate,5,50,0.0577,0.032,A0017
TVOC,HeartRate,5,50,-0.0017,0.0363,A0017
Humidity,HeartRate,6,60,-0.0464,0.0497,A0017
Activity_IR,Humidity,1,10,-0.0762,0.0153,A0017
BreathRate,Humidity,1,10,0.0184,0.0093,A0017
Humidity,Humidity,1,10,0.7179,0.0,A0017
CO2,Humidity,1,10,0.1202,0.0066,A0017
TVOC,Humidity,1,10,0.1461,0.0,A0017
Humidity,Humidity,2,20,-0.2154,0.0001,A0017
CO2,Humidity,2,20,0.0588,0.0451,A0017
TVOC,Humidity,2,20,0.0628,0.0197,A0017
Activity_IR,Humidity,3,30,0.107,0.019,A0017
HeartRate,Humidity,3,30,0.0992,0.0,A0017
Humidity,Humidity,3,30,0.0956,0.0125,A0017
TVOC,Humidity,5,50,-0.0719,0.0415,A0017
Activity_IR,Humidity,6,60,-0.0408,0.0137,A0017
HeartRate,Humidity,6,60,-0.0511,0.0449,A0017
StressIndex,Humidity,6,60,-0.0869,0.0026,A0017
Humidity,Humidity,6,60,0.0944,0.0235,A0017
Activity_IR,Risk_bin,1,10,-0.0727,0.0469,A0017
Risk_bin,Risk_bin,1,10,0.6447,0.0,A0017
BreathRate,Risk_bin,3,30,-0.0378,0.0213,A0017
BreathRate,Risk_bin,4,40,0.0537,0.0288,A0017
Temperature,Risk_bin,4,40,0.0635,0.0113,A0017
Temperature,Risk_bin,5,50,-0.1268,0.0,A0017
HeartRate,Risk_bin,6,60,0.0434,0.0396,A0017
Temperature,Risk_bin,6,60,0.0454,0.0261,A0017
CO2,Risk_bin,6,60,0.0427,0.0251,A0017
TVOC,Risk_bin,6,60,0.0634,0.0408,A0017
Activity_IR,StressIndex,1,10,0.0367,0.0492,A0017
StressIndex,StressIndex,1,10,0.1696,0.0,A0017
Temperature,StressIndex,1,10,0.0156,0.0175,A0017
CO2,StressIndex,1,10,0.0277,0.0326,A0017
Activity_IR,StressIndex,2,20,0.0598,0.0224,A0017
BreathRate,StressIndex,2,20,0.0539,0.0245,A0017
BreathRate,StressIndex,3,30,-0.049,0.0469,A0017
BreathRate,StressIndex,4,40,0.0516,0.0204,A0017
CO2,StressIndex,4,40,-0.0739,0.0099,A0017
TVOC,StressIndex,4,40,-0.077,0.0099,A0017
Activity_IR,StressIndex,5,50,-0.0541,0.0294,A0017
Humidity,StressIndex,5,50,0.0496,0.0336,A0017
CO2,StressIndex,5,50,-0.0458,0.0152,A0017
TVOC,StressIndex,5,50,-0.0468,0.0266,A0017
BreathRate,StressIndex,6,60,-0.0432,0.0072,A0017
Activity_IR,TVOC,1,10,0.1659,0.0,A0017
HeartRate,TVOC,1,10,-0.0061,0.0492,A0017
StressIndex,TVOC,1,10,-0.0096,0.0158,A0017
Humidity,TVOC,1,10,-0.0967,0.0108,A0017
TVOC,TVOC,1,10,0.149,0.0,A0017
Activity_IR,TVOC,2,20,0.0513,0.0448,A0017
CO2,TVOC,2,20,-0.0168,0.0184,A0017
TVOC,TVOC,2,20,-0.0638,0.0489,A0017
Humidity,TVOC,3,30,0.0025,0.0465,A0017
Risk_bin,TVOC,3,30,-0.0496,0.0012,A0017
Activity_IR,TVOC,4,40,0.0513,0.0163,A0017
HeartRate,TVOC,4,40,0.0532,0.002,A0017
StressIndex,TVOC,4,40,-0.038,0.0141,A0017
Risk_bin,TVOC,4,40,-0.0354,0.0493,A0017
Activity_IR,TVOC,5,50,0.0696,0.0495,A0017
Temperature,TVOC,5,50,0.1029,0.0093,A0017
Risk_bin,TVOC,5,50,-0.0979,0.0004,A0017
Activity_IR,TVOC,6,60,0.0971,0.008,A0017
BreathRate,TVOC,6,60,-0.039,0.0347,A0017
HeartRate,Temperature,1,10,-0.0178,0.0301,A0017
Temperature,Temperature,1,10,0.8475,0.0,A0017
Humidity,Temperature,1,10,0.3242,0.0,A0017
TVOC,Temperature,1,10,0.0949,0.0466,A0017
BreathRate,Temperature,2,20,0.0615,0.0,A0017
Temperature,Temperature,2,20,-0.4204,0.0,A0017
Humidity,Temperature,2,20,-0.0835,0.0,A0017
HeartRate,Temperature,3,30,0.0555,0.0002,A0017
Temperature,Temperature,3,30,0.2028,0.0003,A0017
Humidity,Temperature,3,30,0.0711,0.0005,A0017
HeartRate,Temperature,4,40,0.0704,0.0007,A0017
Humidity,Temperature,4,40,0.1419,0.008,A0017
Risk_bin,Temperature,4,40,-0.0748,0.0245,A0017
Activity_IR,Temperature,5,50,0.0546,0.0031,A0017
StressIndex,Temperature,6,60,-0.0182,0.0084,A0017
Activity_IR,Activity_IR,1,10,0.3528,0.0,A0018
Temperature,Activity_IR,1,10,0.0269,0.0022,A0018
Humidity,Activity_IR,1,10,-0.0462,0.0038,A0018
CO2,Activity_IR,1,10,-0.0055,0.0,A0018
Activity_IR,Activity_IR,2,20,0.0245,0.0023,A0018
StressIndex,Activity_IR,2,20,0.0391,0.0006,A0018
Temperature,Activity_IR,2,20,0.0416,0.0024,A0018
Humidity,Activity_IR,2,20,-0.037,0.0027,A0018
CO2,Activity_IR,2,20,-0.0018,0.0024,A0018
TVOC,Activity_IR,2,20,-0.0089,0.0052,A0018
Risk_bin,Activity_IR,2,20,-0.0268,0.0003,A0018
Activity_IR,Activity_IR,3,30,0.0417,0.0,A0018
BreathRate,Activity_IR,3,30,-0.0198,0.0407,A0018
StressIndex,Activity_IR,3,30,0.0113,0.0024,A0018
Temperature,Activity_IR,3,30,0.028,0.0104,A0018
Humidity,Activity_IR,3,30,-0.0342,0.0059,A0018
StressIndex,Activity_IR,4,40,0.0164,0.0259,A0018
Humidity,Activity_IR,4,40,-0.0346,0.0005,A0018
Risk_bin,Activity_IR,4,40,-0.0414,0.0001,A0018
Activity_IR,Activity_IR,5,50,0.0308,0.0002,A0018
HeartRate,Activity_IR,5,50,0.0273,0.0391,A0018
BreathRate,Activity_IR,5,50,-0.0086,0.0414,A0018
StressIndex,Activity_IR,5,50,0.0026,0.0119,A0018
Temperature,Activity_IR,5,50,-0.0008,0.0086,A0018
Humidity,Activity_IR,5,50,-0.0013,0.005,A0018
Risk_bin,Activity_IR,5,50,-0.0246,0.0241,A0018
Activity_IR,Activity_IR,6,60,0.0034,0.0381,A0018
HeartRate,Activity_IR,6,60,0.0043,0.0018,A0018
StressIndex,Activity_IR,6,60,-0.0206,0.0272,A0018
Temperature,Activity_IR,6,60,0.0175,0.0101,A0018
Humidity,Activity_IR,6,60,-0.0088,0.0037,A0018
CO2,Activity_IR,6,60,0.0084,0.0374,A0018
TVOC,Activity_IR,6,60,0.0115,0.038,A0018
HeartRate,BreathRate,1,10,0.0675,0.0011,A0018
BreathRate,BreathRate,1,10,0.3402,0.0,A0018
StressIndex,BreathRate,1,10,-0.0489,0.0054,A0018
CO2,BreathRate,1,10,0.0111,0.0192,A0018
Risk_bin,BreathRate,1,10,-0.045,0.0027,A0018
Activity_IR,BreathRate,2,20,-0.003,0.014,A0018
BreathRate,BreathRate,2,20,0.1594,0.0,A0018
StressIndex,BreathRate,2,20,-0.033,0.0391,A0018
Temperature,BreathRate,2,20,0.0148,0.0227,A0018
Humidity,BreathRate,2,20,-0.0195,0.0395,A0018
CO2,BreathRate,2,20,-0.0143,0.0042,A0018
TVOC,BreathRate,2,20,-0.0116,0.004,A0018
Activity_IR,BreathRate,3,30,-0.0021,0.0013,A0018
HeartRate,BreathRate,3,30,0.0113,0.0358,A0018
BreathRate,BreathRate,3,30,0.0712,0.0002,A0018
Temperature,BreathRate,3,30,-0.006,0.0081,A0018
Risk_bin,BreathRate,3,30,-0.0207,0.0001,A0018
BreathRate,BreathRate,4,40,0.0199,0.007,A0018
Humidity,BreathRate,4,40,0.0019,0.0307,A0018
BreathRate,BreathRate,5,50,0.0564,0.0,A0018
StressIndex,BreathRate,5,50,0.0257,0.0214,A0018
Humidity,BreathRate,5,50,0.0117,0.0338,A0018
CO2,BreathRate,5,50,0.0196,0.0242,A0018
TVOC,BreathRate,5,50,0.0341,0.0095,A0018
HeartRate,BreathRate,6,60,0.0018,0.0198,A0018
BreathRate,BreathRate,6,60,0.011,0.0441,A0018
StressIndex,BreathRate,6,60,0.0023,0.017,A0018
CO2,BreathRate,6,60,-0.0284,0.0024,A0018
TVOC,BreathRate,6,60,-0.0338,0.0041,A0018
Risk_bin,BreathRate,6,60,-0.0052,0.0103,A0018
Activity_IR,CO2,1,10,0.1223,0.0,A0018
Humidity,CO2,1,10,-0.0587,0.001,A0018
CO2,CO2,1,10,0.063,0.0,A0018
TVOC,CO2,1,10,-0.0298,0.0,A0018
Risk_bin,CO2,1,10,-0.0294,0.0278,A0018
Activity_IR,CO2,2,20,-0.0303,0.0008,A0018
BreathRate,CO2,2,20,-0.0337,0.0112,A0018
StressIndex,CO2,2,20,0.0008,0.0226,A0018
CO2,CO2,2,20,0.0228,0.0055,A0018
TVOC,CO2,2,20,-0.0215,0.009,A0018
Risk_bin,CO2,2,20,0.0179,0.0,A0018
Activity_IR,CO2,3,30,-0.0106,0.0099,A0018
BreathRate,CO2,3,30,-0.0011,0.0227,A0018
Humidity,CO2,3,30,-0.0421,0.0022,A0018
CO2,CO2,3,30,0.0176,0.024,A0018
TVOC,CO2,3,30,-0.0101,0.021,A0018
Risk_bin,CO2,3,30,0.0189,0.035,A0018
Temperature,CO2,4,40,-0.0076,0.0036,A0018
CO2,CO2,4,40,0.0228,0.0029,A0018
Risk_bin,CO2,4,40,0.0062,0.0097,A0018
StressIndex,CO2,5,50,-0.0175,0.0032,A0018
Humidity,CO2,5,50,-0.0123,0.0031,A0018
CO2,CO2,5,50,-0.013,0.0176,A0018
TVOC,CO2,5,50,-0.0063,0.0331,A0018
Risk_bin,CO2,5,50,-0.0126,0.0,A0018
HeartRate,CO2,6,60,0.0076,0.0366,A0018
BreathRate,CO2,6,60,0.0029,0.0078,A0018
StressIndex,CO2,6,60,0.0487,0.0006,A0018
CO2,CO2,6,60,0.0173,0.0393,A0018
TVOC,CO2,6,60,0.0305,0.0158,A0018
Activity_IR,HeartRate,1,10,0.0123,0.0087,A0018
HeartRate,HeartRate,1,10,0.4218,0.0,A0018
StressIndex,HeartRate,1,10,-0.0418,0.0075,A0018
Risk_bin,HeartRate,1,10,-0.0688,0.0043,A0018
Activity_IR,HeartRate,2,20,-0.008,0.031,A0018
HeartRate,HeartRate,2,20,0.1151,0.0,A0018
StressIndex,HeartRate,2,20,-0.036,0.001,A0018
Temperature,HeartRate,2,20,-0.002,0.0492,A0018
Humidity,HeartRate,2,20,-0.0201,0.0009,A0018
CO2,HeartRate,2,20,-0.0274,0.0058,A0018
TVOC,HeartRate,2,20,0.0225,0.0019,A0018
Risk_bin,HeartRate,2,20,0.0205,0.0034,A0018
HeartRate,HeartRate,3,30,0.0668,0.0005,A0018
BreathRate,HeartRate,3,30,0.0086,0.0411,A0018
Temperature,HeartRate,3,30,0.0073,0.0263,A0018
Humidity,HeartRate,3,30,-0.0167,0.0041,A0018
Risk_bin,HeartRate,3,30,-0.014,0.0001,A0018
Activity_IR,HeartRate,4,40,0.0123,0.0047,A0018
HeartRate,HeartRate,4,40,-0.0009,0.0226,A0018
BreathRate,HeartRate,4,40,-0.0183,0.027,A0018
StressIndex,HeartRate,4,40,-0.0264,0.0139,A0018
Humidity,HeartRate,4,40,0.0173,0.0049,A0018
CO2,HeartRate,4,40,-0.0063,0.0438,A0018
TVOC,HeartRate,4,40,0.0078,0.0492,A0018
Activity_IR,HeartRate,5,50,-0.0075,0.0005,A0018
HeartRate,HeartRate,5,50,0.0397,0.0017,A0018
StressIndex,HeartRate,5,50,-0.0068,0.0112,A0018
Humidity,HeartRate,5,50,-0.0252,0.0009,A0018
Activity_IR,HeartRate,6,60,-0.0084,0.04,A0018
HeartRate,HeartRate,6,60,-0.0131,0.0144,A0018
StressIndex,HeartRate,6,60,-0.0135,0.011,A0018
Humidity,HeartRate,6,60,0.0026,0.0005,A0018
Risk_bin,HeartRate,6,60,-0.0003,0.0181,A0018
Activity_IR,Humidity,1,10,-0.1185,0.0,A0018
HeartRate,Humidity,1,10,-0.0256,0.0085,A0018
Temperature,Humidity,1,10,-0.0782,0.0001,A0018
Humidity,Humidity,1,10,0.7078,0.0,A0018
CO2,Humidity,1,10,0.0511,0.0005,A0018
TVOC,Humidity,1,10,0.1044,0.0,A0018
Risk_bin,Humidity,1,10,0.0635,0.0,A0018
Activity_IR,Humidity,2,20,-0.0003,0.005,A0018
Temperature,Humidity,2,20,-0.0386,0.0458,A0018
Humidity,Humidity,2,20,-0.0608,0.0007,A0018
CO2,Humidity,2,20,-0.0213,0.0002,A0018
TVOC,Humidity,2,20,-0.0361,0.0071,A0018
Risk_bin,Humidity,2,20,0.0506,0.0024,A0018
Activity_IR,Humidity,3,30,-0.0054,0.0043,A0018
Temperature,Humidity,3,30,-0.0127,0.0012,A0018
Humidity,Humidity,3,30,0.0142,0.0139,A0018
Risk_bin,Humidity,3,30,0.0047,0.0135,A0018
Activity_IR,Humidity,4,40,-0.0134,0.0055,A0018
HeartRate,Humidity,4,40,0.0103,0.0015,A0018
StressIndex,Humidity,4,40,-0.0071,0.005,A0018
Humidity,Humidity,4,40,-0.0021,0.0026,A0018
TVOC,Humidity,4,40,-0.0229,0.0317,A0018
Risk_bin,Humidity,4,40,0.0521,0.0,A0018
StressIndex,Humidity,5,50,-0.0264,0.0004,A0018
CO2,Humidity,5,50,-0.0119,0.0098,A0018
TVOC,Humidity,5,50,-0.0341,0.0119,A0018
Risk_bin,Humidity,5,50,-0.0121,0.0096,A0018
Activity_IR,Humidity,6,60,0.0097,0.0339,A0018
HeartRate,Humidity,6,60,0.002,0.0117,A0018
BreathRate,Humidity,6,60,-0.0247,0.0008,A0018
Humidity,Humidity,6,60,0.0061,0.0079,A0018
CO2,Humidity,6,60,0.0293,0.0085,A0018
TVOC,Humidity,6,60,0.0002,0.0052,A0018
Risk_bin,Humidity,6,60,-0.0137,0.0099,A0018
Activity_IR,Risk_bin,1,10,-0.0938,0.0,A0018
HeartRate,Risk_bin,1,10,-0.0281,0.0067,A0018
StressIndex,Risk_bin,1,10,-0.0116,0.0106,A0018
Temperature,Risk_bin,1,10,-0.061,0.0045,A0018
CO2,Risk_bin,1,10,0.0171,0.0002,A0018
TVOC,Risk_bin,1,10,-0.0376,0.0,A0018
Risk_bin,Risk_bin,1,10,0.6358,0.0,A0018
HeartRate,Risk_bin,2,20,-0.0001,0.0013,A0018
StressIndex,Risk_bin,2,20,-0.0145,0.0476,A0018
Temperature,Risk_bin,2,20,-0.0054,0.0045,A0018
Risk_bin,Risk_bin,2,20,0.0624,0.0002,A0018
HeartRate,Risk_bin,3,30,-0.0052,0.0171,A0018
BreathRate,Risk_bin,3,30,-0.0114,0.0085,A0018
StressIndex,Risk_bin,3,30,-0.0014,0.011,A0018
HeartRate,Risk_bin,4,40,0.0155,0.0048,A0018
BreathRate,Risk_bin,4,40,0.0088,0.0062,A0018
StressIndex,Risk_bin,4,40,-0.0121,0.0107,A0018
Temperature,Risk_bin,4,40,0.0063,0.0112,A0018
Risk_bin,Risk_bin,4,40,0.0343,0.0005,A0018
StressIndex,Risk_bin,5,50,0.0127,0.0139,A0018
Temperature,Risk_bin,5,50,-0.0024,0.0295,A0018
Humidity,Risk_bin,5,50,0.0164,0.0462,A0018
Risk_bin,Risk_bin,5,50,0.0064,0.028,A0018
HeartRate,Risk_bin,6,60,0.005,0.0001,A0018
BreathRate,Risk_bin,6,60,-0.0145,0.03,A0018
Temperature,Risk_bin,6,60,-0.0126,0.0151,A0018
Risk_bin,Risk_bin,6,60,0.001,0.0479,A0018
Activity_IR,StressIndex,1,10,0.0204,0.0014,A0018
HeartRate,StressIndex,1,10,-0.0831,0.0005,A0018
BreathRate,StressIndex,1,10,0.0299,0.0405,A0018
StressIndex,StressIndex,1,10,0.2797,0.0,A0018
CO2,StressIndex,1,10,0.0037,0.0082,A0018
TVOC,StressIndex,1,10,-0.0033,0.006,A0018
Risk_bin,StressIndex,1,10,-0.0243,0.0107,A0018
Activity_IR,StressIndex,2,20,-0.0011,0.0169,A0018
HeartRate,StressIndex,2,20,-0.0321,0.0118,A0018
StressIndex,StressIndex,2,20,0.1231,0.0,A0018
Temperature,StressIndex,2,20,0.0107,0.0215,A0018
Humidity,StressIndex,2,20,0.0076,0.0041,A0018
CO2,StressIndex,2,20,-0.0049,0.0397,A0018
Risk_bin,StressIndex,2,20,-0.0105,0.0112,A0018
Activity_IR,StressIndex,3,30,0.0229,0.0179,A0018
HeartRate,StressIndex,3,30,0.0042,0.0116,A0018
StressIndex,StressIndex,3,30,0.109,0.0,A0018
Temperature,StressIndex,3,30,-0.0006,0.0002,A0018
Activity_IR,StressIndex,4,40,0.0171,0.0223,A0018
HeartRate,StressIndex,4,40,-0.0195,0.0056,A0018
BreathRate,StressIndex,4,40,-0.0089,0.0085,A0018
StressIndex,StressIndex,4,40,0.0241,0.0176,A0018
Temperature,StressIndex,4,40,0.0067,0.0132,A0018
Humidity,StressIndex,4,40,-0.0107,0.0252,A0018
CO2,StressIndex,4,40,0.013,0.0368,A0018
TVOC,StressIndex,4,40,0.0134,0.0389,A0018
Risk_bin,StressIndex,4,40,0.0014,0.0095,A0018
HeartRate,StressIndex,5,50,0.0007,0.0303,A0018
StressIndex,StressIndex,5,50,0.0641,0.0001,A0018
Temperature,StressIndex,5,50,0.0204,0.0294,A0018
Humidity,StressIndex,5,50,-0.0001,0.0271,A0018
TVOC,StressIndex,5,50,0.0224,0.0189,A0018
Risk_bin,StressIndex,5,50,-0.0065,0.0202,A0018
Temperature,StressIndex,6,60,-0.001,0.0243,A0018
Humidity,StressIndex,6,60,0.0268,0.0176,A0018
CO2,StressIndex,6,60,0.0077,0.0273,A0018
TVOC,StressIndex,6,60,0.0084,0.0339,A0018
Activity_IR,TVOC,1,10,0.1124,0.0,A0018
Humidity,TVOC,1,10,-0.0581,0.0013,A0018
CO2,TVOC,1,10,0.0577,0.0,A0018
TVOC,TVOC,1,10,-0.0303,0.0,A0018
Risk_bin,TVOC,1,10,-0.0214,0.0338,A0018
Activity_IR,TVOC,2,20,-0.0288,0.0011,A0018
BreathRate,TVOC,2,20,-0.0334,0.0204,A0018
StressIndex,TVOC,2,20,-0.0054,0.0136,A0018
CO2,TVOC,2,20,0.0173,0.0085,A0018
TVOC,TVOC,2,20,-0.0329,0.0133,A0018
Risk_bin,TVOC,2,20,0.0203,0.0,A0018
Activity_IR,TVOC,3,30,-0.0123,0.0142,A0018
BreathRate,TVOC,3,30,-0.0,0.0191,A0018
Humidity,TVOC,3,30,-0.0391,0.001,A0018
CO2,TVOC,3,30,0.0109,0.0197,A0018
TVOC,TVOC,3,30,0.0004,0.0169,A0018
Risk_bin,TVOC,3,30,0.0129,0.0291,A0018
Temperature,TVOC,4,40,-0.0025,0.0056,A0018
CO2,TVOC,4,40,0.015,0.0044,A0018
Risk_bin,TVOC,4,40,0.004,0.0051,A0018
StressIndex,TVOC,5,50,-0.0207,0.0041,A0018
Humidity,TVOC,5,50,-0.0148,0.0032,A0018
CO2,TVOC,5,50,-0.0182,0.0235,A0018
TVOC,TVOC,5,50,-0.0107,0.038,A0018
Risk_bin,TVOC,5,50,-0.0182,0.0,A0018
HeartRate,TVOC,6,60,0.0078,0.0361,A0018
BreathRate,TVOC,6,60,0.0068,0.0061,A0018
StressIndex,TVOC,6,60,0.0444,0.0017,A0018
Humidity,TVOC,6,60,0.0177,0.0263,A0018
CO2,TVOC,6,60,0.018,0.0476,A0018
TVOC,TVOC,6,60,0.0156,0.0322,A0018
Risk_bin,TVOC,6,60,-0.0019,0.0395,A0018
Activity_IR,Temperature,1,10,0.1003,0.0,A0018
HeartRate,Temperature,1,10,-0.0038,0.0343,A0018
BreathRate,Temperature,1,10,-0.018,0.0381,A0018
StressIndex,Temperature,1,10,0.0033,0.0309,A0018
Temperature,Temperature,1,10,0.7843,0.0,A0018
Humidity,Temperature,1,10,0.1955,0.0,A0018
CO2,Temperature,1,10,0.0752,0.0,A0018
TVOC,Temperature,1,10,0.045,0.0,A0018
Risk_bin,Temperature,1,10,-0.0312,0.0145,A0018
Activity_IR,Temperature,2,20,-0.1162,0.0,A0018
Temperature,Temperature,2,20,-0.1701,0.0,A0018
Humidity,Temperature,2,20,-0.0961,0.0,A0018
CO2,Temperature,2,20,0.0275,0.0304,A0018
Risk_bin,Temperature,2,20,0.0029,0.004,A0018
Activity_IR,Temperature,3,30,-0.0152,0.0035,A0018
HeartRate,Temperature,3,30,0.024,0.0191,A0018
